Metodo 9 -> Tamanho 3, Jan: 3x3, Val(x,y): 1x1, BH: 2, TS: 3,  TPR: 55.11%, FPR: 1.63%, ACC: 95.09%
Metodo 9 -> Tamanho 3, Jan: 3x3, Val(x,y): 1x1, BH: 2, TS: 4,  TPR: 46.97%, FPR: 0.95%, ACC: 95.10%
Metodo 9 -> Tamanho 3, Jan: 3x3, Val(x,y): 1x1, BH: 2, TS: 5,  TPR: 39.66%, FPR: 0.58%, ACC: 94.89%
Metodo 9 -> Tamanho 3, Jan: 3x3, Val(x,y): 2x2, BH: 2, TS: 3,  TPR: 54.36%, FPR: 1.54%, ACC: 95.11%
Metodo 9 -> Tamanho 3, Jan: 3x3, Val(x,y): 2x2, BH: 2, TS: 4,  TPR: 46.22%, FPR: 0.90%, ACC: 95.09%
Metodo 9 -> Tamanho 3, Jan: 3x3, Val(x,y): 2x2, BH: 2, TS: 5,  TPR: 38.88%, FPR: 0.55%, ACC: 94.86%
Metodo 9 -> Tamanho 3, Jan: 3x3, Val(x,y): 3x3, BH: 2, TS: 3,  TPR: 54.23%, FPR: 1.52%, ACC: 95.12%
Metodo 9 -> Tamanho 3, Jan: 3x3, Val(x,y): 3x3, BH: 2, TS: 4,  TPR: 46.08%, FPR: 0.89%, ACC: 95.09%
Metodo 9 -> Tamanho 3, Jan: 3x3, Val(x,y): 3x3, BH: 2, TS: 5,  TPR: 38.70%, FPR: 0.55%, ACC: 94.85%
Metodo 9 -> Tamanho 3, Jan: 3x3, Val(x,y): 4x4, BH: 2, TS: 3,  TPR: 53.74%, FPR: 1.47%, ACC: 95.13%
Metodo 9 -> Tamanho 3, Jan: 3x3, Val(x,y): 4x4, BH: 2, TS: 4,  TPR: 45.39%, FPR: 0.86%, ACC: 95.06%
Metodo 9 -> Tamanho 3, Jan: 3x3, Val(x,y): 4x4, BH: 2, TS: 5,  TPR: 38.10%, FPR: 0.52%, ACC: 94.82%
Metodo 9 -> Tamanho 3, Jan: 5x5, Val(x,y): 1x1, BH: 2, TS: 3,  TPR: 52.16%, FPR: 1.26%, ACC: 95.20%
Metodo 9 -> Tamanho 3, Jan: 5x5, Val(x,y): 1x1, BH: 2, TS: 4,  TPR: 43.47%, FPR: 0.72%, ACC: 95.05%
Metodo 9 -> Tamanho 3, Jan: 5x5, Val(x,y): 1x1, BH: 2, TS: 5,  TPR: 36.41%, FPR: 0.44%, ACC: 94.77%
Metodo 9 -> Tamanho 3, Jan: 5x5, Val(x,y): 2x2, BH: 2, TS: 3,  TPR: 44.76%, FPR: 0.73%, ACC: 95.13%
Metodo 9 -> Tamanho 3, Jan: 5x5, Val(x,y): 2x2, BH: 2, TS: 4,  TPR: 35.59%, FPR: 0.39%, ACC: 94.75%
Metodo 9 -> Tamanho 3, Jan: 5x5, Val(x,y): 2x2, BH: 2, TS: 5,  TPR: 27.89%, FPR: 0.21%, ACC: 94.33%
Metodo 9 -> Tamanho 3, Jan: 5x5, Val(x,y): 3x3, BH: 2, TS: 3,  TPR: 42.84%, FPR: 0.64%, ACC: 95.07%
Metodo 9 -> Tamanho 3, Jan: 5x5, Val(x,y): 3x3, BH: 2, TS: 4,  TPR: 33.71%, FPR: 0.34%, ACC: 94.66%
Metodo 9 -> Tamanho 3, Jan: 5x5, Val(x,y): 3x3, BH: 2, TS: 5,  TPR: 26.10%, FPR: 0.18%, ACC: 94.23%
Metodo 9 -> Tamanho 3, Jan: 5x5, Val(x,y): 4x4, BH: 2, TS: 3,  TPR: 41.80%, FPR: 0.60%, ACC: 95.03%
Metodo 9 -> Tamanho 3, Jan: 5x5, Val(x,y): 4x4, BH: 2, TS: 4,  TPR: 32.49%, FPR: 0.31%, ACC: 94.59%
Metodo 9 -> Tamanho 3, Jan: 5x5, Val(x,y): 4x4, BH: 2, TS: 5,  TPR: 24.81%, FPR: 0.16%, ACC: 94.15%
Metodo 9 -> Tamanho 3, Jan: 7x7, Val(x,y): 1x1, BH: 2, TS: 3,  TPR: 51.52%, FPR: 1.20%, ACC: 95.22%
Metodo 9 -> Tamanho 3, Jan: 7x7, Val(x,y): 1x1, BH: 2, TS: 4,  TPR: 42.83%, FPR: 0.68%, ACC: 95.03%
Metodo 9 -> Tamanho 3, Jan: 7x7, Val(x,y): 1x1, BH: 2, TS: 5,  TPR: 35.73%, FPR: 0.41%, ACC: 94.75%
Metodo 9 -> Tamanho 3, Jan: 7x7, Val(x,y): 2x2, BH: 2, TS: 3,  TPR: 36.09%, FPR: 0.38%, ACC: 94.80%
Metodo 9 -> Tamanho 3, Jan: 7x7, Val(x,y): 2x2, BH: 2, TS: 4,  TPR: 26.79%, FPR: 0.18%, ACC: 94.28%
Metodo 9 -> Tamanho 3, Jan: 7x7, Val(x,y): 2x2, BH: 2, TS: 5,  TPR: 19.57%, FPR: 0.08%, ACC: 93.83%
Metodo 9 -> Tamanho 3, Jan: 7x7, Val(x,y): 3x3, BH: 2, TS: 3,  TPR: 28.51%, FPR: 0.21%, ACC: 94.39%
Metodo 9 -> Tamanho 3, Jan: 7x7, Val(x,y): 3x3, BH: 2, TS: 4,  TPR: 19.92%, FPR: 0.08%, ACC: 93.85%
Metodo 9 -> Tamanho 3, Jan: 7x7, Val(x,y): 3x3, BH: 2, TS: 5,  TPR: 13.56%, FPR: 0.04%, ACC: 93.41%
Metodo 9 -> Tamanho 3, Jan: 7x7, Val(x,y): 4x4, BH: 2, TS: 3,  TPR: 25.71%, FPR: 0.16%, ACC: 94.22%
Metodo 9 -> Tamanho 3, Jan: 7x7, Val(x,y): 4x4, BH: 2, TS: 4,  TPR: 17.50%, FPR: 0.06%, ACC: 93.68%
Metodo 9 -> Tamanho 3, Jan: 7x7, Val(x,y): 4x4, BH: 2, TS: 5,  TPR: 11.76%, FPR: 0.03%, ACC: 93.28%
Metodo 9 -> Tamanho 3, Jan: 9x9, Val(x,y): 1x1, BH: 2, TS: 3,  TPR: 51.52%, FPR: 1.20%, ACC: 95.22%
Metodo 9 -> Tamanho 3, Jan: 9x9, Val(x,y): 1x1, BH: 2, TS: 4,  TPR: 42.83%, FPR: 0.68%, ACC: 95.03%
Metodo 9 -> Tamanho 3, Jan: 9x9, Val(x,y): 1x1, BH: 2, TS: 5,  TPR: 35.73%, FPR: 0.41%, ACC: 94.75%
Metodo 9 -> Tamanho 3, Jan: 9x9, Val(x,y): 2x2, BH: 2, TS: 3,  TPR: 31.23%, FPR: 0.25%, ACC: 94.55%
Metodo 9 -> Tamanho 3, Jan: 9x9, Val(x,y): 2x2, BH: 2, TS: 4,  TPR: 22.11%, FPR: 0.10%, ACC: 94.00%
Metodo 9 -> Tamanho 3, Jan: 9x9, Val(x,y): 2x2, BH: 2, TS: 5,  TPR: 15.15%, FPR: 0.04%, ACC: 93.52%
Metodo 9 -> Tamanho 3, Jan: 9x9, Val(x,y): 3x3, BH: 2, TS: 3,  TPR: 18.38%, FPR: 0.07%, ACC: 93.74%
Metodo 9 -> Tamanho 3, Jan: 9x9, Val(x,y): 3x3, BH: 2, TS: 4,  TPR: 11.18%, FPR: 0.02%, ACC: 93.24%
